Predictor variable,Categorical,Sample average
bio_1,false,21.719602447642043
bio_10,false,24.370047791828704
bio_11,false,18.550335336647642
bio_12,false,2327.3134957825678
bio_13,false,414.0360824742268
bio_14,false,63.9311152764761
bio_15,false,63.82921796081886
bio_16,false,1128.3345829428304
bio_17,false,265.30271790065603
bio_18,false,1127.578725398313
bio_19,false,331.8987816307404
bio_2,false,10.039461203792325
bio_3,false,63.686293467027404
bio_4,false,245.28200923558586
bio_5,false,29.250416758357638
bio_6,false,13.486891164440022
bio_7,false,15.763525560623927
bio_8,false,24.36943038110992
bio_9,false,19.56479793502107
